Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2016-01-04,36.38,36.38,36.38,36.38
2016-01-05,37.29,37.29,37.29,37.29
2016-01-06,36.28,36.28,36.28,36.28
2016-01-07,34.31,34.31,34.31,34.31
2016-01-08,33.13,33.13,33.13,33.13
2016-01-11,33.14,33.14,33.14,33.14
2016-01-12,31.79,31.79,31.79,31.79
2016-01-18,29.49,29.49,29.49,29.49
2016-01-19,28.71,28.71,28.71,28.71
2016-01-20,29.43,29.43,29.43,29.43
2016-01-21,27.98,27.98,27.98,27.98
2016-01-25,31.46,31.46,31.46,31.46
2016-01-26,31.24,31.24,31.24,31.24
2016-01-27,31.21,31.21,31.21,31.21
2016-01-28,32.01,32.01,32.01,32.01
2016-01-29,34.09,34.09,34.09,34.09
2016-02-01,34.69,34.69,34.69,34.69
2016-02-02,35.1,35.1,35.1,35.1
2016-02-03,33.02,33.02,33.02,33.02
2016-02-04,34.05,34.05,34.05,34.05
2016-02-05,35.12,35.12,35.12,35.12
2016-02-08,34.58,34.58,34.58,34.58
2016-02-09,33.6,33.6,33.6,33.6
2016-02-10,32.45,32.45,32.45,32.45
2016-02-11,30.96,30.96,30.96,30.96
2016-02-12,30.47,30.47,30.47,30.47
2016-02-17,33.36,33.36,33.36,33.36
2016-02-18,33.86,33.86,33.86,33.86
2016-02-19,35.06,35.06,35.06,35.06
2016-02-22,33.64,33.64,33.64,33.64
2016-02-23,34.69,34.69,34.69,34.69
2016-02-24,34.15,34.15,34.15,34.15
2016-02-25,33.14,33.14,33.14,33.14
2016-02-26,34.38,34.38,34.38,34.38
2016-02-29,35.98,35.98,35.98,35.98
2016-03-01,35.96,35.96,35.96,35.96
2016-03-02,36.77,36.77,36.77,36.77
2016-03-03,36.84,36.84,36.84,36.84
2016-03-04,36.94,36.94,36.94,36.94
2016-03-07,37.85,37.85,37.85,37.85
2016-03-08,39.78,39.78,39.78,39.78
2016-03-09,40.51,40.51,40.51,40.51
2016-03-10,40.71,40.71,40.71,40.71
2016-03-14,40.76,40.76,40.76,40.76
2016-03-15,39.49,39.49,39.49,39.49
2016-03-16,38.75,38.75,38.75,38.75
2016-03-17,39.94,39.94,39.94,39.94
2016-03-18,41.21,41.21,41.21,41.21
2016-03-21,41.83,41.83,41.83,41.83
2016-03-22,41.47,41.47,41.47,41.47
2016-03-23,41.61,41.61,41.61,41.61
2016-03-24,41.12,41.12,41.12,41.12
2016-03-28,40.03,40.03,40.03,40.03
2016-03-29,40.42,40.42,40.42,40.42
2016-03-30,39.24,39.24,39.24,39.24
2016-03-31,39.76,39.76,39.76,39.76
2016-04-01,39.66,39.66,39.66,39.66
2016-04-04,39.37,39.37,39.37,39.37
2016-04-05,38.52,38.52,38.52,38.52
2016-04-06,37.89,37.89,37.89,37.89
2016-04-07,39.26,39.26,39.26,39.26
2016-04-08,39.59,39.59,39.59,39.59
2016-04-11,41.45,41.45,41.45,41.45
2016-04-12,42.45,42.45,42.45,42.45
2016-04-13,43.98,43.98,43.98,43.98
2016-04-14,44.36,44.36,44.36,44.36
2016-04-15,44.3,44.3,44.3,44.3
2016-04-18,43.16,43.16,43.16,43.16
2016-04-19,42.36,42.36,42.36,42.36
2016-04-20,43.92,43.92,43.92,43.92
2016-04-21,44.21,44.21,44.21,44.21
2016-04-22,45.48,45.48,45.48,45.48
2016-04-25,45.14,45.14,45.14,45.14
2016-04-26,45.09,45.09,45.09,45.09
2016-04-27,45.44,45.44,45.44,45.44
2016-04-28,46.84,46.84,46.84,46.84
2016-04-29,47.57,47.57,47.57,47.57
2016-05-02,48.1,48.1,48.1,48.1
2016-05-03,46.75,46.75,46.75,46.75
2016-05-04,45.36,45.36,45.36,45.36
2016-05-05,45.16,45.16,45.16,45.16
2016-05-06,45.81,45.81,45.81,45.81
2016-05-09,45.14,45.14,45.14,45.14
2016-05-10,44.84,44.84,44.84,44.84
2016-05-11,44.74,44.74,44.74,44.74
2016-05-12,46.37,46.37,46.37,46.37
2016-05-13,47.88,47.88,47.88,47.88
2016-05-16,47.83,47.83,47.83,47.83
2016-05-17,49.04,49.04,49.04,49.04
2016-05-18,49.1,49.1,49.1,49.1
2016-05-19,49.28,49.28,49.28,49.28
2016-05-20,48.12,48.12,48.12,48.12
2016-05-23,48.89,48.89,48.89,48.89
2016-05-24,48.27,48.27,48.27,48.27
2016-05-25,48.54,48.54,48.54,48.54
2016-05-26,49.4,49.4,49.4,49.4
2016-05-27,50.06,50.06,50.06,50.06
