Data,wig_banki,wig_budow,wig_chemia,wig_energ,wig_gornic,wig_gry,wig_info,wig_leki,wig_media,wig_moto,wig_nrchom,wig_odziez,wig_paliwa,wig_spozyw,10yply,wig
2017-01-31,6839.04,3158.51,16201.95,2680.31,4394.62,5723.09,2278.96,5856.8,4857.26,5555.74,1898.52,4931.0,5436.53,4918.65,3.872,55232.32
2017-02-28,7241.32,3411.86,16338.33,2866.11,4603.45,6794.0,2321.99,6049.59,5113.42,5677.46,1920.81,5372.66,6316.14,4891.79,3.821,58300.37
2017-03-31,6991.74,3518.62,16091.27,2876.2,4157.63,7122.8,2359.4,6616.42,5167.54,5457.59,1933.4,6020.58,6561.69,4577.12,3.507,57911.31
2017-04-30,7484.97,3625.77,16090.56,2868.07,4518.19,6441.46,2372.02,6003.52,5176.43,5549.33,2013.24,5950.56,7496.41,4611.43,3.442,61644.56
2017-05-31,7421.43,3382.1,15153.04,2762.75,3887.4,7323.76,2284.17,5780.35,5290.19,5950.11,2047.89,5494.4,6931.67,4594.06,3.246,60092.07
2017-06-30,7261.87,3470.78,14778.71,3037.52,4106.07,7917.72,2287.84,6077.31,5126.77,5764.16,2130.39,6053.31,7128.31,4473.78,3.307,61018.36
2017-07-31,7645.88,3298.25,14820.18,3341.39,4561.8,7976.38,2148.84,6102.15,5233.79,5444.84,2098.95,6146.84,7126.08,4416.97,3.386,62595.76
2017-08-31,7609.01,3262.12,15363.72,3529.04,4922.77,7751.74,2110.98,6326.92,5171.14,5346.26,2148.81,7154.47,7805.32,4152.46,3.296,64973.76
2017-09-30,7450.51,3125.87,16814.67,3361.72,4596.66,10442.2,2095.18,6141.87,4887.6,5383.59,2163.1,7069.98,7996.11,3904.56,3.381,64289.69
2017-10-31,7727.27,2756.35,15812.1,3240.2,4762.85,10749.78,2105.09,5597.96,4675.89,5221.31,2110.83,7188.97,8364.71,3617.83,3.443,64866.57
2017-11-30,8142.06,2784.43,15214.58,2961.37,4198.58,9160.41,2010.24,5217.43,4746.9,4833.9,2066.6,6687.73,7281.19,3583.98,3.343,62440.31
2017-12-31,8481.97,2819.16,15297.93,2990.57,4394.93,8818.18,2041.8,5827.07,4791.34,5174.38,2198.05,7506.99,7140.43,3627.59,3.302,63746.2
2018-01-31,8920.77,2806.66,15780.06,2932.59,4376.41,10483.78,2115.13,5688.32,5001.96,4874.8,2295.07,7970.76,7341.31,3939.79,3.464,66048.17
2018-02-28,8341.56,2723.81,13910.74,2559.36,4159.99,9724.63,2098.81,5413.94,4917.78,4631.01,2196.27,7248.79,6636.31,3798.06,3.376,61703.18
2018-03-31,7841.44,2688.22,13639.53,2457.61,3509.02,9944.71,1971.63,5102.88,5031.1,4500.85,2202.41,6886.73,5946.63,3792.63,3.174,58377.42
2018-04-30,7899.2,2577.6,13157.37,2576.03,3742.43,11549.47,1986.1,5321.18,5111.79,4280.52,2211.94,7347.37,6367.5,3677.84,3.087,59932.46
2018-05-31,7378.34,2354.49,11989.64,2446.67,3489.4,13695.19,2064.78,5541.33,5183.37,4280.83,2147.27,7600.27,5863.0,3755.77,3.27,57282.73
2018-06-30,7219.4,2143.1,11891.5,2344.45,3509.32,14931.52,1894.21,5781.01,4845.23,4332.54,2088.32,6485.32,6011.42,3463.23,3.229,55954.44
2018-07-31,7921.94,2184.37,12054.54,2421.92,3797.33,17944.0,2089.73,6026.02,4745.17,4596.02,2141.02,6880.7,6589.34,3573.1,3.18,59964.47
2018-08-31,7934.25,2102.39,11297.78,2223.67,3607.55,18518.41,2044.36,6352.09,5073.44,4539.0,2091.8,6917.26,6991.8,3498.87,3.207,60201.08
2018-09-30,7876.32,1895.85,9829.87,2208.13,3439.57,16843.89,2033.55,5863.35,4524.72,4100.79,2033.93,6681.34,7362.82,3441.51,3.265,58974.76
2018-10-31,7314.54,1979.06,8452.03,2315.16,3446.82,14248.43,2069.17,5257.07,4587.9,3876.05,1966.31,5751.79,6848.53,3416.64,3.225,55312.71
2018-11-30,7579.43,1954.84,9313.82,2661.37,3439.68,12874.98,2046.07,5112.22,4531.49,3640.86,2022.34,6173.28,7892.22,3576.6,3.054,58203.39
2018-12-31,7453.65,1915.0,9350.86,2410.68,3423.39,13076.91,1991.93,5105.98,4513.06,3540.98,1911.66,6021.68,7998.16,3383.22,2.839,57690.5
2019-01-31,7622.93,1915.51,10868.61,2740.69,3597.74,16893.77,2087.51,4849.25,4850.52,3674.35,2081.82,6131.01,8129.74,3469.01,2.734,60367.42
2019-02-28,7558.37,1989.05,12690.82,2671.46,3672.62,16911.55,2210.06,5207.32,4829.47,3779.38,2132.24,6080.03,7845.04,3506.73,2.952,59903.7
2019-03-31,7586.29,2197.18,11569.4,2335.91,3864.41,18073.25,2243.23,5158.18,4953.9,3720.99,2213.04,6513.37,7312.79,3483.75,2.843,59668.03
2019-04-30,7776.5,2134.94,11211.46,2174.6,3695.55,19315.2,2302.81,5382.41,5105.05,3843.43,2155.26,6525.29,7210.75,3588.52,3.017,60145.5
2019-05-31,7500.44,2001.64,10512.43,2144.19,3370.82,18887.79,2329.38,5219.53,4936.08,3646.39,2104.49,5415.96,7167.07,3225.17,2.666,57909.95
2019-06-30,7908.32,2092.92,10645.19,2239.32,3580.94,19487.98,2396.24,5410.86,5312.94,3695.27,2245.46,5716.38,6745.59,3293.69,2.423,60187.43
2019-07-31,7458.56,2054.7,10857.19,2087.68,3235.03,20736.47,2451.38,5738.55,5239.35,3593.53,2335.41,5646.17,7384.22,3322.17,2.198,59670.6
