Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2016-01-04,0.23403,0.23484,0.23241,0.23264
2016-01-05,0.23263,0.2327,0.23148,0.2322
2016-01-06,0.23222,0.23226,0.22958,0.22986
2016-01-07,0.22989,0.23111,0.22944,0.2301
2016-01-08,0.23011,0.23087,0.22905,0.22915
2016-01-11,0.22931,0.22993,0.22892,0.2298
2016-01-12,0.22983,0.22984,0.2285,0.22933
2016-01-13,0.22935,0.23088,0.22926,0.22966
2016-01-14,0.22969,0.23022,0.22753,0.22755
2016-01-15,0.22756,0.22791,0.22255,0.2232
2016-01-18,0.22301,0.22456,0.22262,0.22421
2016-01-19,0.22421,0.22564,0.22406,0.22477
2016-01-20,0.22477,0.22478,0.222,0.22239
2016-01-21,0.2224,0.22374,0.22158,0.22261
2016-01-22,0.22261,0.225,0.22258,0.22425
2016-01-25,0.22415,0.2245,0.22313,0.22331
2016-01-26,0.2233,0.22503,0.22217,0.22483
2016-01-27,0.22482,0.22491,0.22297,0.22306
2016-01-28,0.22308,0.225,0.223,0.22448
2016-01-29,0.22446,0.22648,0.22406,0.22625
2016-02-01,0.2259,0.22793,0.22559,0.2273
2016-02-02,0.22751,0.22858,0.22612,0.22615
2016-02-03,0.22616,0.22799,0.22573,0.22641
2016-02-04,0.22632,0.22713,0.22584,0.22611
2016-02-05,0.2261,0.22736,0.22589,0.22681
2016-02-08,0.22653,0.2273,0.22441,0.22484
2016-02-09,0.22483,0.22526,0.22356,0.22481
2016-02-10,0.2248,0.22725,0.2248,0.22698
2016-02-11,0.22699,0.22716,0.22391,0.22606
2016-02-12,0.22607,0.22788,0.2259,0.22742
2016-02-15,0.22738,0.22776,0.22691,0.22751
2016-02-16,0.22751,0.2276,0.22636,0.2271
2016-02-17,0.2271,0.22802,0.22639,0.22741
2016-02-18,0.2274,0.22867,0.22724,0.22755
2016-02-19,0.22755,0.22888,0.22737,0.22885
2016-02-22,0.22869,0.22951,0.22781,0.22944
2016-02-23,0.22944,0.22952,0.22816,0.22821
2016-02-24,0.22821,0.22927,0.2279,0.22839
2016-02-25,0.2284,0.2298,0.22836,0.22958
2016-02-26,0.22963,0.22983,0.22877,0.22891
2016-02-29,0.22889,0.23037,0.22841,0.22983
2016-03-01,0.22987,0.23112,0.22981,0.23097
2016-03-02,0.23097,0.2317,0.23056,0.23133
2016-03-03,0.23134,0.23178,0.22975,0.23054
2016-03-04,0.23049,0.23184,0.23,0.23142
2016-03-07,0.23109,0.23171,0.23059,0.23084
2016-03-08,0.23085,0.23156,0.23035,0.23129
2016-03-09,0.23127,0.23216,0.2312,0.23154
2016-03-10,0.23164,0.23325,0.23006,0.23051
2016-03-11,0.23053,0.23316,0.23047,0.23298
2016-03-14,0.23282,0.23403,0.23223,0.23372
2016-03-15,0.23373,0.2338,0.23248,0.23314
2016-03-16,0.23314,0.2333,0.23189,0.23314
2016-03-17,0.23315,0.2344,0.23226,0.23385
2016-03-18,0.23384,0.23496,0.23369,0.23459
2016-03-21,0.2345,0.23509,0.23428,0.23476
2016-03-22,0.23479,0.23509,0.23423,0.23494
2016-03-23,0.23493,0.23529,0.23454,0.23456
2016-03-24,0.23458,0.23496,0.23337,0.23425
2016-03-28,0.23452,0.23579,0.23451,0.2352
2016-03-29,0.23518,0.23562,0.23495,0.23544
2016-03-30,0.23544,0.23585,0.23352,0.23412
2016-03-31,0.23414,0.23606,0.23348,0.23568
2016-04-01,0.23569,0.23644,0.23489,0.23502
2016-04-04,0.23538,0.23658,0.23498,0.2358
2016-04-05,0.23574,0.23594,0.23425,0.23448
2016-04-06,0.23444,0.23506,0.23363,0.23418
2016-04-07,0.2342,0.23505,0.23241,0.2326
2016-04-08,0.23265,0.23332,0.23258,0.23284
2016-04-11,0.23275,0.23421,0.23268,0.23384
2016-04-12,0.23382,0.23401,0.23267,0.23318
2016-04-13,0.23321,0.23376,0.23278,0.23324
2016-04-14,0.23324,0.23338,0.23208,0.23253
2016-04-15,0.23252,0.23307,0.23242,0.23279
2016-04-18,0.23296,0.2331,0.23199,0.23222
2016-04-19,0.23222,0.23315,0.23199,0.2327
2016-04-20,0.23276,0.23438,0.23238,0.23398
2016-04-21,0.23402,0.23428,0.23098,0.23142
2016-04-22,0.23142,0.2317,0.22865,0.22917
2016-04-25,0.22916,0.22929,0.22588,0.22675
2016-04-26,0.22675,0.22888,0.22649,0.22863
2016-04-27,0.22861,0.2288,0.22673,0.22806
2016-04-28,0.22805,0.22832,0.22708,0.22741
2016-04-29,0.22741,0.229,0.22664,0.22867
2016-05-02,0.22851,0.22897,0.22763,0.22831
2016-05-03,0.22827,0.22896,0.22698,0.22766
2016-05-04,0.22765,0.22773,0.22691,0.22719
2016-05-05,0.22722,0.22779,0.22572,0.227
2016-05-06,0.22699,0.22713,0.2254,0.22559
2016-05-09,0.22563,0.22699,0.22554,0.22561
2016-05-10,0.22559,0.22685,0.22557,0.22635
2016-05-11,0.22634,0.22643,0.22573,0.22596
2016-05-12,0.22597,0.22687,0.22545,0.22654
2016-05-13,0.22656,0.22796,0.22622,0.22667
2016-05-16,0.22798,0.22947,0.22777,0.22877
2016-05-17,0.22879,0.22957,0.22859,0.22881
2016-05-18,0.22882,0.22893,0.22707,0.22744
2016-05-19,0.22743,0.22773,0.22639,0.22667
2016-05-20,0.22667,0.22685,0.22587,0.22648
2016-05-23,0.22634,0.22665,0.22478,0.22501
2016-05-24,0.22502,0.22618,0.22436,0.22601
2016-05-25,0.22593,0.22716,0.22582,0.22691
2016-05-26,0.22691,0.2275,0.22617,0.22686
2016-05-27,0.22687,0.22811,0.22662,0.22798
2016-05-30,0.22789,0.22796,0.22722,0.22757
2016-05-31,0.22752,0.22848,0.2273,0.22798
2016-06-01,0.22798,0.22812,0.22734,0.22808
2016-06-02,0.22807,0.22814,0.22734,0.22804
2016-06-03,0.22803,0.22863,0.22709,0.22799
2016-06-06,0.22816,0.2297,0.22746,0.22952
